interval_start,region,demand_mw
2025-12-31 00:00:00,NSW1,6758.24
2025-12-31 00:00:00,QLD1,6193.82
2025-12-31 00:00:00,SA1,1426.77
2025-12-31 00:00:00,TAS1,841.86
2025-12-31 00:00:00,VIC1,4190.33
2025-12-31 00:05:00,NSW1,6723.44
2025-12-31 00:05:00,QLD1,6092.26
2025-12-31 00:05:00,SA1,1424.51
2025-12-31 00:05:00,TAS1,839.82
2025-12-31 00:05:00,VIC1,4209.48
2025-12-31 00:10:00,NSW1,6762.44
2025-12-31 00:10:00,QLD1,6141.97
2025-12-31 00:10:00,SA1,1433.92
2025-12-31 00:15:00,QLD1,6122.14
2025-12-31 00:10:00,TAS1,830.98
2025-12-31 00:10:00,VIC1,4165.78
2025-12-31 00:15:00,NSW1,6731.91
2025-12-31 00:15:00,SA1,1442.0
2025-12-31 00:15:00,TAS1,841.58
2025-12-31 00:15:00,VIC1,4128.53
2025-12-31 00:20:00,NSW1,6666.73
2025-12-31 00:20:00,QLD1,6097.97
2025-12-31 00:20:00,SA1,1460.08
2025-12-31 00:20:00,TAS1,834.16
2025-12-31 00:20:00,VIC1,4103.68
2025-12-31 00:25:00,NSW1,6573.96
2025-12-31 00:25:00,QLD1,6034.59
2025-12-31 00:25:00,SA1,1459.62
2025-12-31 00:25:00,TAS1,828.27
2025-12-31 00:25:00,VIC1,4064.74
2025-12-31 00:30:00,NSW1,6564.47
2025-12-31 00:30:00,QLD1,5971.52
2025-12-31 00:30:00,SA1,1482.44
2025-12-31 00:30:00,TAS1,832.64
2025-12-31 00:35:00,SA1,1472.94
2025-12-31 00:30:00,VIC1,4037.3
2025-12-31 00:35:00,NSW1,6489.15
2025-12-31 00:35:00,QLD1,6000.83
2025-12-31 00:35:00,TAS1,827.81
2025-12-31 00:35:00,VIC1,4016.04
2025-12-31 00:40:00,NSW1,6493.5
2025-12-31 00:40:00,QLD1,5958.27
2025-12-31 00:40:00,SA1,1495.77
2025-12-31 00:40:00,TAS1,824.81
2025-12-31 00:40:00,VIC1,4009.45
2025-12-31 00:45:00,NSW1,6447.84
2025-12-31 00:45:00,QLD1,5918.22
2025-12-31 00:45:00,SA1,1529.18
2025-12-31 00:45:00,TAS1,825.81
2025-12-31 00:45:00,VIC1,4008.52
2025-12-31 00:50:00,NSW1,6443.6
2025-12-31 00:50:00,QLD1,5863.9
2025-12-31 00:50:00,SA1,1495.39
2025-12-31 00:50:00,TAS1,826.27
2025-12-31 00:50:00,VIC1,3993.65
2025-12-31 00:55:00,TAS1,821.91
2025-12-31 00:55:00,NSW1,6387.17
2025-12-31 00:55:00,QLD1,5921.92
2025-12-31 00:55:00,SA1,1489.75
2025-12-31 00:55:00,VIC1,3990.43
2025-12-31 01:00:00,NSW1,6355.63
2025-12-31 01:00:00,QLD1,5855.11
2025-12-31 01:00:00,SA1,1486.12
2025-12-31 01:00:00,TAS1,812.44
2025-12-31 01:00:00,VIC1,3977.76
2025-12-31 01:05:00,NSW1,6331.13
2025-12-31 01:05:00,QLD1,5864.07
2025-12-31 01:05:00,SA1,1498.86
2025-12-31 01:05:00,TAS1,809.01
2025-12-31 01:05:00,VIC1,3977.46
2025-12-31 01:10:00,NSW1,6336.19
2025-12-31 01:10:00,QLD1,5864.92
2025-12-31 01:10:00,SA1,1491.21
2025-12-31 01:10:00,TAS1,814.7
2025-12-31 01:10:00,VIC1,3944.51
2025-12-31 01:15:00,NSW1,6289.74
2025-12-31 01:15:00,VIC1,3929.34
2025-12-31 01:15:00,QLD1,5848.72
2025-12-31 01:15:00,SA1,1488.81
2025-12-31 01:15:00,TAS1,822.63
2025-12-31 01:20:00,NSW1,6248.34
2025-12-31 01:20:00,QLD1,5850.5
2025-12-31 01:20:00,SA1,1479.73
2025-12-31 01:20:00,TAS1,818.57
2025-12-31 01:20:00,VIC1,3907.99
